"Vashu","Patel","V@shu7","31511101","8622157517","vgp5@njit.edu"
"Ethan","Hunt","Ehunt&7","22212234","23410934567","Ethan@gmail.com"
"Sherlock","Holmes","$herlOcked","12345678","3456781234","Sherlock@gmail.com"
"Sheldon","Cooper","S#eld0n","78978978","4563451234","sheldon@hotmail.com"
"KellyJann","Pateel","KellJ4n$","11400301","6789234567","Kellyjann@njit.edu"
"Ritik","Patel","R!tik4","31456710","8906789123","rt4@njit.edu"
"Shriya","Shah","$Hriya2","31400011","8622356240","ss9@njit.edu"
"Darshiben","Shah","D@rshi19","31411101","5671234012","ds9@njit.edu"
"Ritesh","Magan","Rite$h8","56931256","4562341089","Omshiva@gmail.com"
"Leonard","Baap","Le0n@rd","65212380","5431971200","Lb@njit.edu"
"Iron","Man","Ir0nm@n1","89125412","8967486567","ironman@njit.edu"
"Captain","America","C@pta1n","53156712","8795123456","Onyourleft@gmail.com"
"Peter","Parker","P#ter6","12546734","8907123567","pp@njit.edu"
"Tony","Stark","T0n^stark","89012345","6793432123","tony@njit.edu"
"Safufu","Baig","$afi1","31514935","8901233456","sb@njit.edu"
"Hit","Man","H1tm@n","56457812","7602456980","hm@njit.edu"
"John","Doe","J0#n","13546543","3593456098","jdoe@njit.edu"
"Girish","Kumar","G1ri$h","56701234","1269504579","wesyd@gmail.com"
"Lionel","Messi","N0tgo@t","10101010","5680792345","ItakeL@gmail.com"
